"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","128","2","126","55152","348","54804","0.63","0","0","1","0","1","19"
"BYOCC","dev","50","7","43","13584","11690","1894","86.06","0","5","1","0","1","8"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"RTI","main","113","7","106","12339","5650","6689","45.79","0","0","3","2","2","7"
"Code Modernization","dev","49","1","48","4718","165","4553","3.5","0","0","0","1","0","9"
"Fabric SQL","dev","50","6","44","5311","2227","3084","41.93","0","3","1","0","2","9"
"Doc Gen","dev","35","0","35","3425",,"3425","0","0","0","0","0","0","9"
"Content Processing","dev","41","0","41","5703",,"5703","0","0","0","0","0","0","10"
"DKM","dev","17","0","17","1844",,"1844","0","0","0","0","0","0","5"
"CWYD","dev","7","2","5","283","132","151","46.64","0","2","0","0","0","5"
"Container Migration","dev","36","0","36","515",,"515","0","0","0","0","0","0","6"
"BYOC","dev","8","2","6","1108","2","1106","0.18","2","0","0","0","0","3"
"MAAG","dev","3","0","3","2",,"2","0","0","0","0","0","0","2"
